"filename", "language", "JavaScript", "JSON", "Python", "PostCSS", "Markdown", "JavaScript JSX", "XML", "HTML", "Excel", "CSV", "comment", "blank", "total"
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\EQUIPAMENTOS.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 1268, 0, 0, 9, 1277
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\HORÍMETROS.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 17185, 0, 0, 93, 17278
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\PREVENTIVAS.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 9411, 0, 0, 66, 9477
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\Tabelas\tEMAILS.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 488, 0, 0, 1, 489
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\Tabelas\tFABRICANTES.XLSX", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 108
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\Tabelas\tLOCALIZAÇÃO.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 136
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\Tabelas\tMODELO_SUBMODELO.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 200
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\Tabelas\tPRODUTOS.XLSX", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 1, 100
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\Tabelas\tSTATUSEQUIP.XLSX", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 54
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Relatorios\Tabelas\tTIPO_OBJ.XLSX", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 78
